"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"3560","Normal/Others","WS/MP18253/2024-2025/141456-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Akshaynagar near Kansho Das house.Dag No-120,JL No-38","BAPI HALDAR","MATHURAPUR(SC)","23-Nov-2024","N/A","N/A","2,12,141"
"3561","Normal/Others","WS/MP18253/2024-2025/141457-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Budkhakhali-Bishalaxmipur near Safi Mallick house.Dag No-3313,JL No-41","BAPI HALDAR","MATHURAPUR(SC)","10-Sep-2025","N/A","N/A","2,20,645"
"3562","Normal/Others","WS/MP18253/2024-2025/141458-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Budkhakhali near Sumit Das house.Dag No-2233,JL No-40","BAPI HALDAR","MATHURAPUR(SC)","10-Sep-2025","N/A","N/A","2,12,950"
"3563","Normal/Others","WS/MP18253/2024-2025/141460-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Narayanpur near Hemanta Baidya house.Dag No-1408,JL No-47","BAPI HALDAR","MATHURAPUR(SC)","10-Sep-2025","N/A","N/A","1,59,330"
"3564","Normal/Others","WS/MP829/2024-2025/141466-Installing tube-wells and borewells","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Sinking of Tubewell at Jhumjhumi Hospital","Smt Sajda Ahmed","ULUBERIA","29-Nov-2024","Images","N/A","1,29,039"
"3565","Normal/Others","WS/MP18257/2024-2025/141687-Installing tube-wells and borewells","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Sinking of a submersible pump with an overhead tank and pipe lines near the house of Sankar Das at Dinabundhupur, J.L. No. 165, Plot No. 625 under Bhekutia G.P.","ABHIJIT GANGOPADHYAY","TAMLUK","12-Aug-2025","Images","N/A","2,00,000"
"3566","Normal/Others","WS/MP386/2024-2025/142434-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Single Phase TyubeWell in Village Riya Shyamdas from Jogimagra station towards rol chandawata  for Public Drinking Water","Shri Hanuman Beniwal","NAGAUR","24-Feb-2026","Images","N/A","3,99,675"
"3567","Normal/Others","WS/MP386/2024-2025/142435-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Single Phase TyubeWell in Dhani of Leediya and Liluon ki dhani of Village Riya Shyamdas","Shri Hanuman Beniwal","NAGAUR","24-Feb-2026","Images","N/A","3,99,877"
"3568","Normal/Others","WS/MP386/2024-2025/142436-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Single Phase TubeWell in Dhani of Bagdiyon  In Village Riya Shyamdas","Shri Hanuman Beniwal","NAGAUR","24-Feb-2026","Images","N/A","3,99,471"
"3569","Normal/Others","WS/MP561/2024-2025/142714-Installing tube-wells and borewells","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Boring and water supply work at a public place located at Karmali Chak in Ward No. 68 under Patna Sahib Assembly.","Ravi Shankar Prasad","PATNA SAHIB","21-Feb-2025","Images","N/A","2,46,500"
"3570","Normal/Others","WS/MP561/2024-2025/142715-Installing tube-wells and borewells","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Boring and water supply work near the house of East Kasba Ramsingh in Ward No. 61 under Patna Sahib Assembly.","Ravi Shankar Prasad","PATNA SAHIB","14-Nov-2024","Images","N/A","2,46,500"
"3571","Normal/Others","WS/MP561/2024-2025/142716-Installing tube-wells and borewells","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Boring and water supply work near West Kasba Shiv Mandir in Ward No. 61 under Patna Sahib Assembly.","Ravi Shankar Prasad","PATNA SAHIB","14-Nov-2024","Images","N/A","2,46,500"
"3572","Normal/Others","WS/MP18225/2024-2025/144550-Installing tube-wells and borewells","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","Amir Badhur S/o VIjay Badhaur Ke Ghar ke samane Handpump","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","17-Feb-2026","Images","N/A","73,920"
"3573","Normal/Others","WS/MP386/2024-2025/145023-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Installing of Single phase Tube Well near residance of Arjunram Legha,In Village -Dantina","Shri Hanuman Beniwal","NAGAUR","14-Oct-2025","Images","N/A","4,00,000"
"3574","Normal/Others","WS/MP673/2025-2026/145399-Installing tube-wells and borewells","Maharashtra","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Installing tube-wells and borewells Jewali ta. Lohara","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","11-Mar-2026","N/A","N/A","2,99,674"
"3575","Normal/Others","WS/MP386/2024-2025/147121-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Purchasing and installation of New Material (Pipe, moter pump,cable etc ) in megholai nadi of village- dantina (429-2)","Shri Hanuman Beniwal","NAGAUR","31-Oct-2025","Images","N/A","1,99,582"
"3576","Normal/Others","WS/MP18193/2024-2025/150632-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Drilling of borewell in Zilla Parishad High School, Ward No. 16, Bowrampet, Dundigal Municipality, Gandimaisamma, Medchal-Malkajgiri District.","EATALA RAJENDER","MALKAJGIRI","29-Nov-2025","Images","N/A","1,29,487"
"3577","Normal/Others","WS/MP18193/2024-2025/150633-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Drilling of borewell in Sy.No. 131, Ward No. 10, 2BHK Dignity Houses, 6th Block, Dommara Pochampalli, Dundigal municipality, Gandimaisamma, Medchal-Malkajgiri District.","EATALA RAJENDER","MALKAJGIRI","10-Dec-2025","Images","N/A","1,70,643"
"3578","Normal/Others","WS/MP453/2024-2025/152907-Installing tube-wells and borewells","Odisha","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Installation of Solar Pump at Kurumpeta of Karlakona GP under Rayagada Block","Saptagiri Sankar Ulaka","KORAPUT(ST)","03-Feb-2026","N/A","N/A","7,00,000"
"3579","Normal/Others","WS/MP650/2024-2025/153955-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Motor pump installation work with tube well mining for public use, including recharge pit, in New Palasia Back Side of Chhapan Dukan Ward 43 VS Indore-5","Shankar Lalwani","INDORE","02-Feb-2025","Images","N/A","4,24,527"
"3580","Normal/Others","WS/MP650/2024-2025/153956-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Motor pump installation work with tube well mining for public use, including recharge pit, in Rakhi nagar ward-16 Vidhansabha indore-1","Shankar Lalwani","INDORE","02-Feb-2025","Images","N/A","4,37,826"
"3581","Normal/Others","WS/MP650/2024-2025/153959-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Motor pump installation work with tube well mining for public use, including recharge pit, in  Nehru Nagar Back side of Sheetgrag, near Prajapati Matke Rau  Nagar Parishad Rau Ward 5 VS RAU District indore","Shankar Lalwani","INDORE","24-Jan-2025","Images","N/A","4,27,245"
"3582","Normal/Others","WS/MP18312/2025-2026/154887-Installing tube-wells and borewells","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","New borewell with power pump and syntax tank at Karuvadupettai, Ward no: 18 in TCC (2024-25).","DURAI VAIKO","TIRUCHIRAPPALLI","27-Feb-2026","N/A","N/A","4,92,407"
"3583","Normal/Others","WS/MP18312/2025-2026/154889-Installing tube-wells and borewells","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","New borewell with power pump and syntax tank at Varakaneri Muslim Mettu Street, Ward no: 30 in TCC (2024-25).","DURAI VAIKO","TIRUCHIRAPPALLI","18-Feb-2026","N/A","N/A","4,88,946"
"3584","Normal/Others","WS/	 MP578/2024-2025/156640-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","tekra faliya ma bore moter nu kaam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","26-Mar-2025","N/A","N/A","1,49,205"
"3585","Normal/Others","WS/	 MP578/2024-2025/156641-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","navi vasahat faliya ma bore motor nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","26-Mar-2025","N/A","N/A","1,49,672"
"3586","Normal/Others","WS/	 MP578/2024-2025/156663-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","shir game khati faliya ma rasikbhai sundar bhai na ghar pase bor motor","Mansukhbhai Dhanjibhai Vasava","BHARUCH","25-Nov-2025","Images","N/A","1,00,000"
"3587","Normal/Others","WS/	 MP578/2024-2025/156667-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","nikoli game tad faliya ma ranjit babubhai ghar pase bore motor nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","03-Mar-2026","Images","N/A","1,00,000"
"3588","Normal/Others","WS/	 MP578/2024-2025/156668-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","hola kotar game jashuben babubhai na ghar pase bore mottor","Mansukhbhai Dhanjibhai Vasava","BHARUCH","03-Mar-2026","Images","N/A","1,00,000"
"3589","Normal/Others","WS/	 MP578/2024-2025/156671-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","rajgad bhaga game hanumanji na mandir pase bore motor nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","03-Mar-2026","Images","N/A","1,00,000"
"3590","Normal/Others","WS/MP18177/2025-2026/156819-Installing tube-wells and borewells","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a new bore well in Kamachi valasu of papini panchayat in kangeyam panchayat union (2024-25)","K E PRAKASH","ERODE","11-Feb-2026","Images","N/A","1,97,499"
"3591","Normal/Others","WS/MP524/2024-2025/157651-Installing tube-wells and borewells","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Motor & Pump Set in PN Colony (V&G.P)","Midhun Reddy","RAJAMPET","21-Jan-2026","Images","N/A","89,342"
"3592","Normal/Others","WS/MP429/2024-2025/157872-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Submersible pump, Borewell work and Syntax Tank installation near Angadbadi, Panchayat - Kodar, Block - Pali","Jyotsna Charandas Mahant","KORBA","29-Jul-2025","Images","N/A","2,00,000"
"3593","Normal/Others","WS/MP429/2024-2025/157873-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Submersible pump, Borewell work and Syntax Tank installation at Birhor Mohalla near Shiv Charan ghar, Panchayat - Kodar , Block - Pali","Jyotsna Charandas Mahant","KORBA","29-Jul-2025","Images","N/A","2,00,000"
"3594","Normal/Others","WS/MP18354/2024-2025/158233-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT KALIBA KE GAU ASHRAY DHAM KHALIBA ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-Nov-2025","Images","N/A","1,79,990"
"3595","Normal/Others","WS/MP18354/2024-2025/158242-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT LAMGAON JANPAD BATULI KE HANUMAN MANDIR PRISAR KE PAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,997"
"3596","Normal/Others","WS/MP18155/2024-2025/158572-Installing tube-wells and borewells","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Repair of Irrigation Tubewell","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","28-Oct-2025","N/A","N/A","2,45,060"
"3597","Normal/Others","WS/MP18170/2024-2025/159251-Installing tube-wells and borewells","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Construction of tube well for drinking water, opposite Dade Raj Deri, Road Side, Subhash Colony, Devipura, Sikar","AMRARAM","SIKAR","31-Jul-2025","Images","N/A","5,23,783"
"3598","Normal/Others","WS/	 MP578/2024-2025/159706-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","kara game mahadev faliya ma samuhik bor motor nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","11-Jul-2025","N/A","N/A","1,00,000"
"3599","Normal/Others","WS/MP18354/2024-2025/161298-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","KOSAMCHANWAR ME GAJANAD KHET KE PAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,093"
"3600","Normal/Others","WS/MP18354/2024-2025/161299-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","BENDUWAPARA SUMAN GHAR KE PAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3601","Normal/Others","WS/MP18354/2024-2025/161300-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","BANSPAKER KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,993"
"3602","Normal/Others","WS/MP18354/2024-2025/161301-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","UDARI ROAD ME SUNIL KE KHET KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,997"
"3603","Normal/Others","WS/MP18354/2024-2025/161302-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GOVERNMENT HIGH SCHOOL PARSA KE PRANGAN ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3604","Normal/Others","WS/MP18354/2024-2025/161303-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","PRIMARY SCHOOL BHAKURA ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,993"
"3605","Normal/Others","WS/MP18354/2024-2025/161304-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM CHHUHIPARA ME SUSHIL RAJWADE GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,997"
"3606","Normal/Others","WS/MP18354/2024-2025/161305-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","MANIYAAR SAI KE KHET KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,993"
"3607","Normal/Others","WS/MP18354/2024-2025/161306-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","HEMANT RAJWADE KE GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3608","Normal/Others","WS/MP18354/2024-2025/161307-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","BHANDARPARA ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,993"
"3609","Normal/Others","WS/MP18354/2024-2025/161308-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","LALO BAI GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-Nov-2025","Images","N/A","1,79,993"
"3610","Normal/Others","WS/MP18354/2024-2025/161309-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","AITHATENDU JHAADI LAKRA KE GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,997"
"3611","Normal/Others","WS/MP18354/2024-2025/161310-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","MAHADEVPARA SOMARSAI GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3612","Normal/Others","WS/MP18354/2024-2025/161311-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","ARJUN KHET KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3613","Normal/Others","WS/MP18354/2024-2025/161312-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT RAMPUR ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,990"
"3614","Normal/Others","WS/MP18354/2024-2025/161313-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT DAWA KE SHYAM GUASHALA ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","07-Nov-2025","Images","N/A","1,79,997"
"3615","Normal/Others","WS/MP18137/2025-2026/162027-Installing tube-wells and borewells","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Financial aid to Dorbar Shnong Pohkseh for drilling of Borewell","ANDREW J. SYNGKON","SHILLONG","10-Oct-2025","N/A","N/A","10,00,000"
"3616","Normal/Others","WS/MP650/2024-2025/163151-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Motor pump installation work with tube well mining for public use, including recharge pit, in Bijasan Colony ward-6 Vidhansabha indore-1","Shankar Lalwani","INDORE","25-Aug-2025","Images","N/A","4,20,346"
"3617","Normal/Others","WS/MP650/2024-2025/163165-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Tube well mining with Motor pump installation including recharge pit for public use,  in Sankhla Colony ward-6 Vidhansabha indore-1","Shankar Lalwani","INDORE","22-Aug-2025","Images","N/A","4,25,252"
"3618","Normal/Others","WS/MP650/2024-2025/163166-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","ube well mining with Motor pump installation including recharge pit for public use, in Kamla Negru Nagar near Atal dwar ward-9 Vidhansabha indore-1","Shankar Lalwani","INDORE","22-Aug-2025","Images","N/A","4,20,423"
"3619","Normal/Others","WS/MP650/2024-2025/163174-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Tube well mining with Motor pump installation including recharge pit for public use, in ward-41  Keshav nagar Vidhansabha-Indore-05","Shankar Lalwani","INDORE","22-Aug-2025","Images","N/A","4,07,129"
"3620","Normal/Others","WS/MP650/2024-2025/163175-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Tube well mining with Motor pump installation including recharge pit for Public use  kalinda vindhyanchal Midtown Devguradiya Indore VS- RAU","Shankar Lalwani","INDORE","22-Aug-2025","Images","N/A","4,15,905"
"3621","Normal/Others","WS/MP18032/2024-2025/163528-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Install tube-well in west side of jevari village near temple","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","2,32,171"
"3622","Normal/Others","WS/MP18354/2024-2025/163547-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","WARD NO 6 MAHARANA PRATAP WARD ME SLR CENTER KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-Nov-2025","Images","N/A","1,79,997"
"3623","Normal/Others","WS/MP18354/2024-2025/163548-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","WARD NO 06 MAHARANA PRATAP WARD ME GULAR NAGESIYA GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-Nov-2025","Images","N/A","1,79,993"
"3624","Normal/Others","WS/MP18354/2024-2025/163549-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","BAURIPARA SCHOOL AMBIKAPUR  PRABHA GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-Nov-2025","Images","N/A","1,79,990"
